CityName,GeoAreaName,Place_Id,LastChangeDateTime,DaysFromUpdate,Description
Chicago,Near West Side,13368,07/07/2016,211,Mapped
Chicago,Near West Side,13381,07/07/2016,211,Mapped
Chicago,Near West Side,13423,07/07/2016,211,Mapped
Chicago,Near West Side,13667,07/07/2016,211,Mapped
Chicago,South Lawndale,18834,07/07/2016,211,Mapped
Chicago,Near West Side,13438,07/07/2016,211,Mapped
Chicago,South Lawndale,18800,07/07/2016,211,Mapped
Chicago,South Lawndale,18794,07/07/2016,211,Mapped
Chicago,Grand Boulevard,12027,07/07/2016,211,Mapped
Chicago,Hyde Park,13051,07/07/2016,211,Mapped
Chicago,Hyde Park,13054,07/07/2016,211,Mapped
Chicago,South Lawndale,18677,07/07/2016,211,Mapped
Chicago,South Lawndale,18660,07/07/2016,211,Mapped
Chicago,South Lawndale,18685,07/07/2016,211,Mapped
Chicago,Avalon Park,24677,07/07/2016,211,Mapped
Chicago,South Lawndale,18643,07/07/2016,211,Mapped
Chicago,Hyde Park,13057,07/07/2016,211,Mapped
Chicago,Hyde Park,13056,07/07/2016,211,Mapped
Chicago,Hyde Park,13053,07/07/2016,211,Mapped
Chicago,Hyde Park,13052,07/07/2016,211,Mapped
Chicago,South Lawndale,18597,07/07/2016,211,Mapped
Chicago,South Lawndale,18507,07/07/2016,211,Mapped
Chicago,Near West Side,13466,07/07/2016,211,Mapped
Chicago,South Lawndale,18527,07/07/2016,211,Mapped
Chicago,South Lawndale,18506,07/07/2016,211,Mapped
Chicago,Near West Side,60986,07/07/2016,211,Mapped
Chicago,South Lawndale,18500,07/07/2016,211,Mapped
Chicago,South Lawndale,18447,07/07/2016,211,Mapped
Chicago,South Lawndale,18284,07/07/2016,211,Mapped
Chicago,Avalon Park,24868,07/07/2016,211,Mapped
Chicago,Hyde Park,60987,07/07/2016,211,Mapped
Chicago,Hyde Park,60988,07/07/2016,211,Mapped
Chicago,Hyde Park,22109,07/07/2016,211,Mapped
Chicago,South Lawndale,18002,07/07/2016,211,Mapped
Chicago,Avalon Park,14321,07/07/2016,211,Mapped
Chicago,South Lawndale,18445,07/07/2016,211,Mapped
Chicago,Mckinley Park,18708,07/07/2016,211,Mapped
Chicago,Hyde Park,12833,07/07/2016,211,Mapped
Chicago,Avalon Park,14784,07/07/2016,211,Mapped
Chicago,South Lawndale,60989,07/07/2016,211,Mapped
Chicago,South Lawndale,18297,07/07/2016,211,Mapped
Chicago,South Lawndale,18290,07/07/2016,211,Mapped
Chicago,Mckinley Park,19228,07/07/2016,211,Mapped
Chicago,South Lawndale,18296,07/07/2016,211,Mapped
Chicago,South Lawndale,18282,07/07/2016,211,Mapped
Chicago,Mckinley Park,19156,07/07/2016,211,Mapped
Chicago,Hyde Park,22087,07/07/2016,211,Mapped
Chicago,Avalon Park,14520,07/07/2016,211,Mapped
Chicago,Mckinley Park,19092,07/07/2016,211,Mapped
Chicago,Mckinley Park,18977,07/07/2016,211,Mapped
Chicago,South Lawndale,60990,07/07/2016,211,Mapped
Chicago,Mckinley Park,19076,07/07/2016,211,Mapped
Chicago,North Lawndale,20850,07/07/2016,211,Mapped
Chicago,Grand Boulevard,11847,07/07/2016,211,Mapped
Chicago,North Lawndale,20834,07/07/2016,211,Mapped
Chicago,South Lawndale,60991,07/07/2016,211,Mapped
Chicago,South Lawndale,20154,07/07/2016,211,Mapped
Chicago,Avalon Park,24959,07/07/2016,211,Mapped
Chicago,Avalon Park,25000,07/07/2016,211,Mapped
Chicago,Grand Boulevard,11102,07/07/2016,211,Mapped
Chicago,Hyde Park,21748,07/07/2016,211,Mapped
Chicago,South Lawndale,20160,07/07/2016,211,Mapped
Chicago,North Lawndale,20799,07/07/2016,211,Mapped
Chicago,Mckinley Park,15573,07/07/2016,211,Mapped
Chicago,South Lawndale,20159,07/07/2016,211,Mapped
Chicago,Hyde Park,21604,07/07/2016,211,Mapped
Chicago,Hyde Park,21747,07/07/2016,211,Mapped
Chicago,South Lawndale,60992,07/07/2016,211,Mapped
Chicago,Avalon Park,15312,07/07/2016,211,Mapped
Chicago,South Lawndale,19079,07/07/2016,211,Mapped
Chicago,Auburn Gresham,24641,07/07/2016,211,Mapped
Chicago,South Lawndale,60993,07/07/2016,211,Mapped
Chicago,South Lawndale,18983,07/07/2016,211,Mapped
Chicago,South Lawndale,18927,07/07/2016,211,Mapped
Chicago,South Lawndale,60994,07/07/2016,211,Mapped
Chicago,Auburn Gresham,24922,07/07/2016,211,Mapped
Chicago,Hyde Park,21593,07/07/2016,211,Mapped
Chicago,South Lawndale,60995,07/07/2016,211,Mapped
Chicago,Hyde Park,21762,07/07/2016,211,Mapped
Chicago,South Lawndale,60996,07/07/2016,211,Mapped
Chicago,Washington Heights,13618,07/07/2016,211,Mapped
Chicago,Mckinley Park,16135,07/07/2016,211,Mapped
Chicago,South Lawndale,60997,07/07/2016,211,Mapped
Chicago,South Lawndale,19357,07/07/2016,211,Mapped
Chicago,Hyde Park,60998,07/07/2016,211,Mapped
Chicago,Hyde Park,60999,07/07/2016,211,Mapped
Chicago,Avalon Park,24540,07/07/2016,211,Mapped
Chicago,South Lawndale,20624,07/07/2016,211,Mapped
Chicago,South Lawndale,20158,07/07/2016,211,Mapped
Chicago,Auburn Gresham,31400,07/07/2016,211,Mapped
Chicago,South Lawndale,18928,07/07/2016,211,Mapped
Chicago,South Lawndale,18989,07/07/2016,211,Mapped
Chicago,Auburn Gresham,31245,07/07/2016,211,Mapped
Chicago,South Lawndale,20156,07/07/2016,211,Mapped
Chicago,Hyde Park,22239,07/07/2016,211,Mapped
Chicago,South Lawndale,19358,07/07/2016,211,Mapped
Chicago,Hyde Park,22218,07/07/2016,211,Mapped
Chicago,Hyde Park,22236,07/07/2016,211,Mapped
Chicago,South Lawndale,20157,07/07/2016,211,Mapped
Chicago,South Lawndale,18665,07/07/2016,211,Mapped
Chicago,Hyde Park,22516,07/07/2016,211,Mapped
Chicago,Hyde Park,22518,07/07/2016,211,Mapped
Chicago,Hyde Park,22520,07/07/2016,211,Mapped
Chicago,South Chicago,24574,08/07/2016,210,Mapped
Chicago,Mckinley Park,15013,08/07/2016,210,Mapped
Chicago,Riverdale,61000,08/07/2016,210,Mapped
Chicago,Auburn Gresham,31397,08/07/2016,210,Mapped
Chicago,South Lawndale,15852,08/07/2016,210,Mapped
Chicago,South Chicago,24431,08/07/2016,210,Mapped
Chicago,Near West Side,61001,08/07/2016,210,Mapped
Chicago,Near West Side,61003,08/07/2016,210,Mapped
Chicago,North Lawndale,13082,08/07/2016,210,Mapped
Chicago,Mckinley Park,18642,08/07/2016,210,Mapped
Chicago,Washington Heights,13419,08/07/2016,210,Mapped
Chicago,South Lawndale,17657,08/07/2016,210,Mapped
Chicago,South Chicago,24441,08/07/2016,210,Mapped
Chicago,Near West Side,61004,08/07/2016,210,Mapped
Chicago,North Lawndale,61002,08/07/2016,210,Mapped
Chicago,South Chicago,24555,08/07/2016,210,Mapped
Chicago,Riverdale,27230,08/07/2016,210,Mapped
Chicago,South Lawndale,17575,08/07/2016,210,Mapped
Chicago,Riverdale,27182,08/07/2016,210,Mapped
Chicago,Auburn Gresham,12779,08/07/2016,210,Mapped
Chicago,South Chicago,24718,08/07/2016,210,Mapped
Chicago,Auburn Gresham,12602,08/07/2016,210,Mapped
Chicago,Mckinley Park,61006,08/07/2016,210,Mapped
Chicago,South Chicago,24466,08/07/2016,210,Mapped
Chicago,North Lawndale,61007,08/07/2016,210,Mapped
Chicago,Near West Side,61008,08/07/2016,210,Mapped
Chicago,Washington Heights,12971,08/07/2016,210,Mapped
Chicago,North Lawndale,13474,08/07/2016,210,Mapped
Chicago,South Lawndale,15820,08/07/2016,210,Mapped
Chicago,Mckinley Park,15790,08/07/2016,210,Mapped
Chicago,South Chicago,24522,08/07/2016,210,Mapped
Chicago,Near West Side,61009,08/07/2016,210,Mapped
Chicago,South Lawndale,17145,08/07/2016,210,Mapped
Chicago,South Chicago,24606,08/07/2016,210,Mapped
Chicago,South Lawndale,15900,08/07/2016,210,Mapped
Chicago,Mckinley Park,18365,08/07/2016,210,Mapped
Chicago,North Lawndale,13905,08/07/2016,210,Mapped
Chicago,Washington Heights,13220,08/07/2016,210,Mapped
Chicago,North Lawndale,61010,08/07/2016,210,Mapped
Chicago,Near West Side,61012,08/07/2016,210,Mapped
Chicago,Near West Side,61011,08/07/2016,210,Mapped
Chicago,North Lawndale,15096,08/07/2016,210,Mapped
Chicago,Riverdale,29893,08/07/2016,210,Mapped
Chicago,Riverdale,29895,08/07/2016,210,Mapped
Chicago,Auburn Gresham,31406,08/07/2016,210,Mapped
Chicago,South Lawndale,17832,08/07/2016,210,Mapped
Chicago,South Chicago,61015,08/07/2016,210,Mapped
Chicago,North Lawndale,14637,08/07/2016,210,Mapped
Chicago,Riverdale,29894,08/07/2016,210,Mapped
Chicago,Auburn Gresham,31356,08/07/2016,210,Mapped
Chicago,Near West Side,61014,08/07/2016,210,Mapped
Chicago,South Chicago,24835,08/07/2016,210,Mapped
Chicago,Mckinley Park,16262,08/07/2016,210,Mapped
Chicago,South Lawndale,16144,08/07/2016,210,Mapped
Chicago,Hyde Park,12626,08/07/2016,210,Mapped
Chicago,Riverdale,29896,08/07/2016,210,Mapped
Chicago,South Lawndale,16378,08/07/2016,210,Mapped
Chicago,Near West Side,61016,08/07/2016,210,Mapped
Chicago,Near West Side,61017,08/07/2016,210,Mapped
Chicago,South Lawndale,16390,08/07/2016,210,Mapped
Chicago,South Lawndale,16391,08/07/2016,210,Mapped
Chicago,Near West Side,61018,08/07/2016,210,Mapped
Chicago,North Lawndale,15030,08/07/2016,210,Mapped
Chicago,Near West Side,61019,08/07/2016,210,Mapped
Chicago,Auburn Gresham,25064,08/07/2016,210,Mapped
Chicago,Near West Side,61013,08/07/2016,210,Mapped
Chicago,North Lawndale,15197,08/07/2016,210,Mapped
Chicago,Mckinley Park,61020,08/07/2016,210,Mapped
Chicago,North Lawndale,15237,08/07/2016,210,Mapped
Chicago,Near West Side,61021,08/07/2016,210,Mapped
